,Tn,Tx,FFmax,RR,lat,lon
83061001,285.25109589041125,294.42945205479487,5.635342465753425,1150.6,43.423,6.7379999999999995
83061007,284.4132876712328,291.4212328767125,6.8287671232876725,1403.7,43.5,6.81
83069001,285.23027397260284,294.23657534246576,7.649589041095889,963.1999999999999,43.09,6.15
83069002,287.2735616438356,293.7776712328769,11.46082191780824,832.9,43.0,6.227
83102005,281.310821917808,292.218767123288,6.721095890410965,678.6,43.67,6.11
83116022,280.87082191780837,293.84589041095904,5.9999999999999964,997.2999999999998,43.48,5.85
83124002,282.6527397260275,294.15383561643847,5.53698630136986,1356.0999999999997,43.58,6.622000000000001
83148002,284.6437677053822,294.1279036827196,8.694900849858358,1174.6000000000001,43.39,6.53
83150002,280.153287671233,294.36616438356197,6.702465753424661,750.0000000000001,43.73,5.78
84003003,281.0168493150684,293.8798630136985,5.008219178082194,1043.9,43.89,5.38
84007005,282.91383561643823,294.53191780821925,8.045479452054797,896.3999999999999,43.91,4.9
84009002,281.5319178082193,293.331095890411,6.399726027397261,917.9,43.79,5.62
84025001,281.4765753424656,294.2187671232877,5.588219178082194,1086.6000000000001,43.88399999999999,5.165
84026003,281.69301369862995,294.4097260273976,5.465205479452053,1059.1999999999998,43.72,5.35
84031001,282.19752747252744,295.0428571428569,5.220604395604393,893.3999999999999,44.08,5.06
